"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","I","Accommodation and food service activities (I)","Euro","19964"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","J","Information and communication (J)","Euro","48292"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","M","Professional, scientific and technical activities (M)","Euro","36898"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","N","Administrative and support service activities (N)","Euro","24510"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","O","Public administration and defence; compulsory social security (O)","Euro","46588"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","P","Education (P)","Euro","47215"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Q","Human health and social work activities (Q)","Euro","35707"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Y0900","Industry (B to E)","Euro","46834"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Y3500","Financial, insurance and real estate activities (K,L)","Euro","42513"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","24573"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","-","All NACE economic sectors","Euro","34455"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","F","Construction (F)","Euro","32084"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","24086"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","H","Transportation and storage (H)","Euro","31686"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","I","Accommodation and food service activities (I)","Euro","19547"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","J","Information and communication (J)","Euro","41515"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","M","Professional, scientific and technical activities (M)","Euro","42514"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","N","Administrative and support service activities (N)","Euro","21492"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","O","Public administration and defence; compulsory social security (O)","Euro","43765"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","P","Education (P)","Euro","49437"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Q","Human health and social work activities (Q)","Euro","34386"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Y0900","Industry (B to E)","Euro","42742"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Y3500","Financial, insurance and real estate activities (K,L)","Euro","42515"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1454-13a3-e055-000000000001","Co. Kerry","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","22391"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","-","All NACE economic sectors","Euro","33473"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","F","Construction (F)","Euro","31271"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23013"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","H","Transportation and storage (H)","Euro","31345"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","I","Accommodation and food service activities (I)","Euro","16513"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","J","Information and communication (J)","Euro","43744"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","M","Professional, scientific and technical activities (M)","Euro","31591"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","N","Administrative and support service activities (N)","Euro","23699"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","O","Public administration and defence; compulsory social security (O)","Euro","43248"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","P","Education (P)","Euro","46000"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Q","Human health and social work activities (Q)","Euro","32023"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Y0900","Industry (B to E)","Euro","37704"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Y3500","Financial, insurance and real estate activities (K,L)","Euro","38723"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1441-13a3-e055-000000000001","Co. Longford","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","22332"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","-","All NACE economic sectors","Euro","36209"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","F","Construction (F)","Euro","33209"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1442-13a3-e055-000000000001","Co. Louth","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26004"
